Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
PY_Call.Star_norm,smell_long parameter list,0.10319412993271597,0.07286804814187872,
refactorizable_Dict.Comprehension_norm,smell_complex conditional,0.10265612613636003,0.07438221071843261,
PY_Dict.Comprehension_norm,smell_long message chain,0.10226154901737883,0.075508893576653,
PY_Truth.Value.Test_norm,smell_long method,0.10192940310320955,0.07646801813964725,
PY_List.Comprehension_norm,smell_long identifier,0.10123994824956956,0.07849048722608806,
refactorizable_Set.Comprehension_norm,smell_long identifier,0.1009599141942169,0.07932422146415281,
PY_List.Comprehension_norm,smell_complex method,0.10011791217191929,0.08187432067764569,
PY_Truth.Value.Test_norm,smell_long parameter list,0.09876018068773341,0.08612535510555927,
PY_List.Comprehension_norm,smell_complex conditional,0.0983220103873203,0.08753452252738302,
PY_Chain.Compare_norm,smell_long lambda function,0.09817142901285297,0.08802304788059027,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.09776901047596827,0.0893393392671962,
PY_Call.Star_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.09741754486180675,0.09050182830423596,
refactorizable_Chain.Compare_norm,smell_long lambda function,0.09710969023212905,0.0915299915344588,
refactorizable_For.Else_norm,smell_empty catch block,0.09648567104442818,0.09364272027671616,
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.0948076516878646,0.09951736903999853,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.0929131887404731,0.1064973408524872,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.09259842444178769,0.1076935945320536,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.09107625253508483,0.11362861828222046,
refactorizable_For.Multi.Targets_norm,smell_long parameter list,0.09025691884785503,0.1169277137403334,
PY_Call.Star_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.0892255305618821,0.12118651222943601,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.0883987157185928,0.12468699226311557,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.08837509941523713,0.12478811690631897,
refactorizable_Call.Star_norm,smell_long identifier,0.08835310155116394,0.12488236864916306,
refactorizable_Dict.Comprehension_norm,smell_long statement,0.08712418919229614,0.13023599117061052,
refactorizable_For.Else_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.08645620406178392,0.13321942145524354,
PY_Assign.Multi.Targets_norm,smell_long message chain,0.08622682973891709,0.1342559299293669,
refactorizable_Truth.Value.Test_norm,smell_long statement,-0.0849819217706957,0.13999003571535176,
refactorizable_Dict.Comprehension_norm,smell_empty catch block,0.08448760840307663,0.14231818110921282,
PY_For.Else_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.08431564859042079,0.14313498549297493,
refactorizable_For.Multi.Targets_norm,smell_long message chain,0.08407604443960738,0.1442790600397812,
refactorizable_For.Multi.Targets_norm,smell_magic number,0.0824155517107374,0.15240014533954346,
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.08146119418706536,0.15722179245696635,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.07968787187454551,0.1664851684897221,
refactorizable_For.Else_norm,smell_long parameter list,0.0777777341736209,0.17691358643488286,
refactorizable_Truth.Value.Test_norm,smell_complex method,0.07758410177347394,0.1779971718425245,
PY_Call.Star_norm,smell_long lambda function,0.07719409231741235,0.1801946098774843,
refactorizable_Set.Comprehension_norm,smell_long message chain,0.07697592034180377,0.18143257442239397,
PY_Dict.Comprehension_norm,smell_long parameter list,0.07669051833221878,0.18306148641190972,
refactorizable_Assign.Multi.Targets_norm,smell_long message chain,0.07531969765613672,0.19103581676987005,
refactorizable_For.Else_norm,smell_long identifier,0.0737903213750365,0.20022940455990149,
PY_Chain.Compare_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.07299514876766429,0.2051345489825318,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.07264584600547686,0.2073165364592152,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.07217682263788484,0.2102726672667388,
refactorizable_Set.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.07169778087215488,0.213323149553881,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.07153109906652493,0.21439197677176047,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_tensor_array_not_used,0.07019356046456149,0.22310809998483538,
PY_For.Multi.Targets_norm,smell_long statement,-0.0698299522138682,0.2255205861818424,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.06862263685646738,0.2336636964159396,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.06732424408722588,0.242650161639261,
PY_Set.Comprehension_norm,smell_long lambda function,0.06657246875220259,0.24796254385237512,
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.06613607484404747,0.2510831856563387,
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.06598625913217984,0.2521607751135467,
PY_For.Else_norm,smell_long message chain,0.0652718202478221,0.25734367350810716,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.06417119508573536,0.26547125547859685,
PY_For.Multi.Targets_norm,smell_long message chain,0.06402981869285287,0.26652786108275217,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.06396259869901108,0.2670312521180863,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_tensor_array_not_used,0.06395880530663876,0.2670596791139985,
PY_Truth.Value.Test_norm,smell_long lambda function,0.06247855714560468,0.2783107027504969,
PY_For.Multi.Targets_norm,smell_magic number,-0.06151654572661692,0.28579244842390134,
refactorizable_Set.Comprehension_norm,smell_magic number,0.059251102451821705,0.3039412621062848,
refactorizable_For.Else_norm,smell_long lambda function,0.059083487803685164,0.30531366393619863,
PY_Truth.Value.Test_norm,smell_long statement,0.05896395076811378,0.3062949088728398,
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.05774430751681359,0.3164253524361708,
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.05618772042060024,0.32966866276112705,
